observation_times,step_heights
0.0,0.2627729759044004
1.0,0.2627729759044004
2.0,0.2627729759044004
3.0,0.2627729759044004
4.0,0.2627729759044004
5.0,0.2627729759044004
6.0,0.2627729759044004
7.0,0.2627729759044004
8.0,0.2627729759044004
9.0,0.2627729759044004
10.0,0.2627729759044004
11.0,0.2627729759044004
12.0,0.2627729759044004
13.0,0.2627729759044004
14.0,0.2627729759044004
15.0,0.2627729759044004
16.0,0.2627729759044004
17.0,0.2627729759044004
18.0,0.2627729759044004
19.0,0.2627729759044004
20.0,0.2627729759044004
21.0,0.2627729759044004
22.0,0.2627729759044004
23.0,0.2627729759044004
24.0,0.2627729759044004
25.0,0.2627729759044004
26.0,0.2627729759044004
27.0,0.2627729759044004
28.0,0.2627729759044004
29.0,0.2627729759044004
30.0,0.2627729759044004
31.0,0.2627729759044004
32.0,0.2627729759044004
33.0,0.2627729759044004
34.0,0.2627729759044004
35.0,0.2627729759044004
36.0,0.2627729759044004
37.0,0.2627729759044004
38.0,0.2627729759044004
39.0,0.2627729759044004
40.0,0.2627729759044004
41.0,0.2627729759044004
42.0,0.2627729759044004
43.0,0.2627729759044004
44.0,0.525892693129122
45.0,0.525892693129122
46.0,0.525892693129122
47.0,0.525892693129122
48.0,0.525892693129122
49.0,0.525892693129122
50.0,0.525892693129122
51.0,0.525892693129122
52.0,0.525892693129122
53.0,0.525892693129122
54.0,0.525892693129122
55.0,0.525892693129122
56.0,0.525892693129122
57.0,0.525892693129122
58.0,0.525892693129122
59.0,0.525892693129122
60.0,0.525892693129122
61.0,0.525892693129122
62.0,0.525892693129122
63.0,0.525892693129122
64.0,0.525892693129122
65.0,0.525892693129122
66.0,0.525892693129122
67.0,0.525892693129122
68.0,0.525892693129122
69.0,0.525892693129122
70.0,0.525892693129122
71.0,0.525892693129122
72.0,0.525892693129122
73.0,0.525892693129122
74.0,0.525892693129122
75.0,0.525892693129122
76.0,0.525892693129122
77.0,0.525892693129122
78.0,0.525892693129122
79.0,0.525892693129122
80.0,0.525892693129122
81.0,0.525892693129122
82.0,0.525892693129122
83.0,0.525892693129122
84.0,0.525892693129122
85.0,0.525892693129122
86.0,0.525892693129122
87.0,0.525892693129122
88.0,0.525892693129122
